Module ID,Module functional association title,Number of unique genes,Illumina Probe IDs,Symbols of member genes
M16.3,T-cell,145,"2094942, 1681798, 1716480, 1718808, 1675483, 2398388, 1775566, 2376771, 1746206, 1797693, 1788356, 2157709, 1775330, 1702676, 2367113, 1796762, 1682567, 1812489, 1686920, 2100209, 1676423, 1782741, 1717197, 1760374, 1718565, 1778203, 1704084, 1695991, 2094905, 1783985, 1791754, 1694432, 2171384, 2046470, 1754211, 1761969, 1723235, 1656501, 1677466, 1697317, 1681890, 2374249, 2111187, 1788416, 1676302, 1800889, 1697491, 2312228, 1694780, 1796177, 1792323, 1702265, 1694268, 1688666, 1913060, 1898124, 1857017, 1822671, 1845065, 2324994, 1747052, 2366041, 1887174, 2158003, 2059357, 1807491, 2377109, 1687306, 1708098, 1672009, 1815141, 1693685, 2110829, 1680772, 1783469, 1728059, 1729421, 1697377, 1709287, 1674228, 1749875, 1679450, 1678998, 2216815, 2411076, 1658847, 1719656, 1707464, 1716733, 1700159, 1657884, 2135798, 1697220, 2094938, 2373982, 1769508, 2117323, 2326737, 2259119, 1656274, 2359710, 1740604, 1654586, 2056551, 1672565, 1722834, 1769546, 2044927, 1783026, 1690064, 2294274, 2148679, 1775036, 2211122, 1736965, 1726114, 2324561, 1713163, 1766171, 2072391, 1691736, 1815283, 2336133, 1785175, 1693882, 1803036, 2414848, 1694847, 1778691, 1674009, 1657701, 1745807, 1708482, 2112256, 1714700, 1655469, 1773313, 1763455, 1751743, 1795338, 1684964, 1795435, 2396786, 2154455, 1802053","ACD, AKAP10, ANKMY1, APH1A, ATP1A1, ATR, AZI1, BRI3BP, C11ORF17, C14ORF19, C15ORF52, C17ORF68, CASP6, CCDC102A, CCDC106, CCDC21, CCDC58, CCL4L1, CCNC, CD300LB, CD3G, CD8A, CDKN1C, CLN5, CMAH, COLQ, COMMD10, COQ6, CPT1B, CRIP2, CXCL5, DAAM1, DCLRE1C, DERL2, DUS3L, DUSP5, DUSP6, DYNLRB2, DYNLT3, DYRK2, ELOVL6, FAM108C1, FAM113A, FIG4, FLJ14213, FUT6, GCHFR, GIPC1, HDC, HDHD2, HES6, HIST1H2BH, HS.197143, HS.25892, HS.551538, HS.567460, HS.570385, IKIP, ITGA4, ITM2C, KIAA0146, KIAA1683, KLRC2, LAIR2, LCK, LGALS2, LIX1L, LOC130773, LOC149448, LOC205251, LOC441743, LOC642083, LOC642197, LOC645236, LOC649754, LOC649841, LOC651575, LOC651751, LOC728715, LOC730746, LRRC14, MAP7, MARCH1, MATR3, MGC61598, MRPL38, MST1, MYOM2, NIPSNAP3A, NME2, NR2C2AP, NT5E, OMA1, PICK1, PIGX, PIK3C2B, PPIE, PRMT2, PRPF38A, PTP4A3, RAB11FIP5, RASA3, RBMX2, RG9MTD1, RGS12, RIN2, RNF5, RNPC3, RUNDC2C, S100PBP, SDHAP3, SEC22A, SEDLP, SEPT6, SIGIRR, SLC45A3, SLC7A6, SMARCA5, SNF8, SNORD31, ST6GALNAC6, SULT1A3, SULT1A4, SWAP70, TAPT1, TARBP1, TBRG4, TERF1, TIA1, TKTL1, TMEM137, TMEM62, TMEM80, TNFRSF4, TRIB2, TSPAN3, USMG5, VSTM1, XRCC1, YPEL1, ZNF212, ZNF264, ZNF266, ZNF330, ZNF91"
M16.4,TBD,130,"1689162, 1707169, 1660856, 2394242, 2334765, 1688180, 2048700, 2257833, 1800619, 1678652, 2161556, 1758293, 1795524, 1734915, 1764329, 1743939, 2078592, 1789558, 1654773, 2166524, 1742779, 1808500, 1774110, 1774974, 1665335, 1742109, 1711089, 1773413, 1758750, 1797172, 1690101, 1777261, 1754045, 2053567, 2129859, 1786469, 1652280, 1776552, 1758213, 1738712, 2065690, 1725666, 2393243, 1668179, 1827840, 1828197, 1860288, 1903049, 1916256, 1832672, 1847494, 1714850, 1755134, 1699908, 1809292, 1724207, 1769449, 1681411, 1693124, 1665571, 1739045, 1674697, 1790971, 1773797, 1734553, 1806631, 1660277, 1709936, 1677765, 1690523, 1753122, 1774028, 1733523, 1768279, 1656254, 1676844, 1681899, 1815723, 1701374, 2047676, 1795906, 1656574, 1694041, 1729650, 1758111, 2051867, 2346997, 1760635, 1698213, 1695717, 1792986, 1677113, 1750273, 1798636, 2363439, 2159384, 1707815, 1742052, 2344007, 1732489, 1808354, 1728236, 1662483, 1683273, 1798926, 1760682, 2215119, 1805158, 2359014, 1745811, 1782688, 1655577, 1690066, 1677446, 2299661, 2405031, 1764398, 1662848, 1686319, 2181089, 1671442, 1830462, 1669303, 1725760, 2344079, 2402558, 1741288, 1806782, 1790918, 1673804, 1770172","ACTR8, AGMAT, ALG11, AMMECR1, ARMCX3, ASPSCR1, ATAD2, BBS7, BRI3BP, C10ORF61, C12ORF49, C14ORF130, C15ORF44, C1ORF156, C21ORF59, C5ORF24, C6ORF105, C8ORF70, CASK, CCNYL1, CENPL, CEP68, CHN2, CLUAP1, DIABLO, DNAJC19, DNAJC21, DOCK9, EARS2, ERCC1, FAIM, FAM3C, FANCL, FASTKD2, FASTKD3, FBXO22, FBXO32, FUBP1, GPAM, GPR180, GRAMD3, GTF2H3, GTPBP8, HNRNPF, HS.284464, HS.352549, HS.443490, HS.527071, HS.534439, HS.561603, HS.88156, HSGT1, HSPA4, IL12RB1, IMMP2L, IVD, LOC153364, LOC642178, LOC644096, LOC644869, LOC647009, LOC650845, LOC652324, LOC652615, LOC653234, LOC653383, LOC731999, LOC90624, LRP8, LRRC20, MCPH1, MTFR1, NARG1L, NME6, NOTCH2NL, NR1D2, NSUN5C, NUP35, NUP35, OSGEPL1, PCBD1, PCGF6, PDCL, PEX7, PIBF1, PTCD2, RAB23, RAD51C, RBM3, RBM41, RFC1, RNF8, RPL23AP7, RPL32, RYK, SBDSP, SDHALP1, SERPINB9, SIP1, SLC10A7, SLC4A7, SLFN12, SMA5, SNAPC5, SOCS2, STAG3L1, SYNJ2, TAF1A, TBCE, TDRD3, THNSL1, TIAM1, TIGD2, TMEM189-UBE2V1, TNFRSF25, TRIM24, TUBE1, TXNDC15, USP37, VPRBP, WDR43, XYLT1, YAF2, YTHDC2, ZGPAT, ZHX1, ZNF136, ZNF235, ZNF236, ZNF426, ZNF669"
M16.5,TBD,123,"1735038, 2047430, 2404407, 2148360, 2363634, 2257015, 1776153, 1681081, 1791186, 2184064, 1801905, 1702609, 2342084, 1716446, 1730032, 1757794, 1704760, 2128639, 1660812, 1717793, 1738099, 1797972, 1665117, 2073592, 2117642, 1811775, 1781234, 1793146, 1811050, 1661589, 1662484, 1691339, 1693494, 2210713, 2109526, 1674640, 2092390, 1664718, 1734096, 1753275, 1659843, 2233604, 2050761, 1667408, 2401258, 1757440, 2411116, 1742548, 1656327, 1666179, 1685954, 1706901, 1877378, 1853344, 1830394, 1742031, 1704063, 1673521, 2407235, 1679042, 1695899, 1800575, 1671152, 1671423, 1805342, 1661488, 2379326, 2408908, 2342066, 2402629, 1745686, 1659110, 1655654, 2370336, 1676254, 1713285, 1765500, 1758049, 1715864, 2153485, 1765061, 2320164, 1681067, 1672650, 1711422, 1703622, 2352295, 1660017, 2092041, 1796669, 2141157, 1706357, 1714093, 1741281, 1749115, 1763609, 1663519, 1686464, 2367681, 1728699, 1742260, 1707763, 2231985, 1777444, 2379835, 1784889, 1773031, 1694486, 2249282, 2208373, 1784264, 1693428, 2065606, 2358919, 1653180, 2140974, 2352380, 2211672, 2252705, 1805863, 1714756, 2402079, 1689528, 1680072","ABAT, ADAM10, ADHFE1, AGER, AGGF1, AGPAT2, ARHGAP18, ARRDC4, ATG4D, B3GNT5, BCAP29, BCL10, BOK, BRWD3, BZW1, C10ORF47, C14ORF11, C19ORF33, C2ORF34, C2ORF65, C6ORF89, CAND2, CAPN7, CCDC124, CCDC22, CCDC25, CCDC88A, CD151, CLDN18, CLEC1A, CMTM1, COMMD8, CSNK2A1P, CXCR6, CXORF20, CYP51A1, DCLRE1A, DENND1A, DNAJC3, ECSIT, EIF4E, EPB41, FAM13A1, FAM69B, FGFR1OP, GFI1B, GLT1D1, HIST2H3C, HMBS, HOXD13, HS.524705, HS.543470, HS.566280, IFRD2, KCNH3, KISS1R, LOC402057, LOC645937, LOC648659, LOC649260, LOC649801, LOC650263, LOC652634, LOC729905, MAP3K7, MAP4K5, MARCH3, MARCH5, METRNL, METTL9, MFHAS1, MGC40489, MPDU1, MS4A4A, MTMR3, NAPA, NDUFV3, NFIA, NHS, NMNAT3, OXER1, P2RY12, PIK3R5, PKM2, PLEKHN1, PPIB, PRDM10, PRR5, PSCDBP, PSEN1, RANBP9, RFX2, RMND5A, RNF175, RTN2, SLC22A16, SLC24A3, SLCO4C1, SPAG1, SPTY2D1, SSFA2, ST7, STCH, STX5, SUMO1, TAC3, TAPBP, TCIRG1, TIPRL, TMEM164, TNFSF13, TNNC2, TOMM40L, TP53I3, TPM4, TPM4, TRPM2, TSNAX, VPS13B, WDR81, YIPF5, ZMIZ2, ZNF136, ZNF32"
M16.6,TBD,119,"1795104, 1679600, 1740752, 1743635, 1751345, 1699606, 1727390, 2380688, 1763207, 2141807, 1771326, 1658110, 2383484, 1727540, 1758599, 1796595, 1678863, 1766793, 1671509, 1747355, 1779257, 1737184, 2335398, 2290007, 2179063, 1783253, 2330584, 1663627, 1778168, 1719468, 2316778, 2370976, 2389935, 2357809, 1797482, 2335813, 1694323, 1757569, 2381296, 2069632, 1696330, 1815882, 1809259, 1872568, 1850594, 1862198, 1823172, 1908133, 1873838, 1686989, 1718354, 1739726, 1679238, 1659688, 1731518, 1734149, 1711492, 1696846, 1676938, 1725170, 1759870, 1766184, 1724052, 1730202, 2268068, 1713147, 1762639, 1701289, 1756701, 2352042, 2099259, 1715401, 1679891, 1674152, 1698715, 1657237, 2336656, 1728887, 1796682, 1736242, 1685845, 1659026, 2082489, 1784985, 1796430, 1733407, 1732127, 1782745, 1652487, 1712413, 2383344, 1746164, 1752639, 1777976, 1725366, 1790577, 1679041, 2294442, 1673676, 2203463, 1733560, 1772241, 1806906, 1784364, 1655844, 1713174, 1745779, 2168933, 1796508, 2116075, 1772712, 1731412, 1666609, 1704351, 1759023, 1687626, 1769673, 1670640, 1782021","ACADS, ACOT8, AGPAT6, ALG14, AP1S1, ASB3, ATPAF2, B4GALT4, BATF3, C15ORF23, C15ORF44, C18ORF19, C19ORF48, C1ORF112, C1ORF76, C5ORF22, C7ORF29, C9ORF23, CCL3, CCL3L1, CD40, CDCA7, CECR5, COBRA1, DDHD2, DDX12, DDX19B, ELMO1, ELMO2, EPM2A, ETNK1, FER1L3, FYTTD1, G3BP1, GCDH, GCH1, GLE1, GSK3A, GSTZ1, GTSF1, GUF1, HNRNPA1, HRASLS2, HS.173957, HS.353387, HS.495112, HS.547738, HS.548415, HS.570229, INSIG1, INTS7, JSRP1, LENG1, LGALS3BP, LOC201164, LOC388122, LOC441050, LOC541471, LOC649214, LOC650557, LOC653066, LOC654346, LOC730051, MAGEF1, MAPKAP1, MCRS1, MED11, MGC40489, MGC4172, MRPL4, MSTP9, MT1G, NAF1, NFKBIB, NHLRC2, NUBP2, OVOS2, PAK4, PARP3, PLEKHG4, POLDIP3, POLR2K, PRMT7, PRRT3, PSMD3, QTRTD1, RBKS, RBL1, RIOK1, RPL39L, RSU1, SCD5, SLC25A24, SLC25A26, SLC27A5, SLC35F2, SLC3A2, SNURF, SNX5, SPATS2, SPG21, SQLE, SSR3, STARD5, TAF1A, TCP11L1, TCTEX1D2, TNIP2, TOP1MT, TRUB2, UBE2J2, UBTD2, USP22, WDR25, WFS1, ZDHHC24, ZNF655, ZNF664, ZNF707"
M16.7,TBD,116,"1687303, 1732809, 1794063, 1705900, 1737380, 1682792, 1768077, 1788810, 2113016, 2225746, 1672554, 2262462, 2077886, 1705753, 1675701, 2252186, 2214955, 1753183, 1732750, 1800993, 1736752, 2415011, 2207419, 1781721, 1667213, 1810531, 1755419, 1659339, 1722309, 1731180, 2065783, 1766200, 1778255, 1664098, 1750661, 1677885, 1756469, 2406656, 1761044, 1726466, 1869087, 1897310, 1863099, 1859908, 1698533, 1810116, 1723117, 1707491, 2059211, 1705733, 1708009, 1660582, 1704369, 1659365, 1710220, 1657673, 2393693, 2328224, 1699082, 1679177, 1664323, 1815190, 1788832, 1719763, 1730260, 2204664, 1683441, 1762678, 1689110, 2184640, 1771835, 2323491, 2215631, 1723793, 1815261, 2043809, 1796710, 2083333, 1711810, 2191436, 2054392, 1786021, 1802627, 1813766, 1810901, 2108357, 2262901, 1708619, 2391750, 2189458, 1681670, 2411190, 2086238, 2224444, 1802089, 2398403, 2398039, 1664434, 2128358, 1698218, 2223805, 1786108, 1745049, 1664537, 2383913, 1793290, 1693669, 1759495, 2048982, 1757262, 2057399, 1657837, 1786852, 1751963, 1739914, 2383871, 1658016","ACAD10, ALG9, ANKRD27, ATXN10, BCAP29, BYSL, C10ORF61, C12ORF30, C17ORF39, C17ORF59, C17ORF81, C19ORF29, C1ORF109, C3ORF26, C5ORF3, CAPN10, CCDC127, CDCA4, CHCHD8, CLUAP1, COMTD1, DCTD, DDX26B, DDX31, DFFA, DRG2, EIF1AX, ELP4, ENDOG, EXOC2, EXOC2, FAM26B, FARSA, FASTK, FBXW9, FMO4, GAMT, GATA3, GNB1L, HDHD3, HS.40289, HS.430851, HS.508889, HS.556082, IDH3A, INPP5B, IPO9, KIAA0125, KIAA0195, KIAA0460, LANCL2, LIG3, LIMA1, LOC653071, LOC729985, LOC90120, LRRC37A4, MADD, MAPKAPK5, MARS2, MBIP, METTL1, MIB1, MORG1, N6AMT2, NBPF14, NCAPD3, NMT1, NOB1, NOLC1, NUP54, NUP62, OTUD6B, PALB2, PDIA4, PFKM, PHC1, PMS2L5, PNKD, POLA1, PPIL1, PRKAB2, PSMG3, RCL1, RNASEH2A, RPL39L, RUFY3, SEH1L, SFMBT1, SHQ1, SLC25A4, SMC2, SMYD4, SNX25, SYMPK, TCEAL1, TCERG1, TCF3, TPP2, TRAF1, TSGA14, TUT1, UQCR, USP11, WDR33, WDR60, WDR79, XPO5, ZBTB25, ZBTB5, ZBTB8OS, ZC3H8, ZCCHC3, ZCWPW1, ZNF618, ZNF74, ZNF831"
M16.8,TBD,116,"2193980, 1781999, 1666690, 1771084, 1730995, 1664006, 1750880, 2406335, 1791149, 1695110, 1746561, 1709484, 2070896, 1777487, 1790537, 1706413, 1793002, 2370685, 1704253, 1743187, 1716728, 1803652, 1696066, 1657680, 1692948, 1781987, 1779095, 1798083, 1722390, 1741131, 1756779, 1791873, 2373779, 2337931, 1727051, 2207997, 2405642, 1690965, 1745737, 1680928, 1764361, 1695711, 2394576, 2411139, 1778152, 1814622, 1728540, 1656300, 1773645, 1655625, 2121816, 1726693, 1760011, 1701169, 1807633, 1846162, 1875887, 1892638, 1814787, 1723021, 1776963, 1809662, 1701641, 1810433, 1665601, 2339705, 1664186, 1772521, 1680344, 1736623, 1751452, 1690325, 2313079, 2114422, 1751403, 1772690, 1728498, 1660305, 2352724, 1715832, 1756445, 1704529, 2379375, 2387919, 2155516, 1677824, 1723689, 2352245, 1771695, 1702633, 1804113, 1661000, 1750722, 1795317, 1759743, 1758315, 1660900, 2236800, 1699472, 1769720, 1686981, 1811624, 1676905, 2249288, 1756402, 1690894, 2367743, 1678814, 1776038, 1691444, 1761363, 1804676, 2322972, 1685467, 1764415, 1702384, 1701464","ABCB6, ABCF2, ACRC, ACSM3, AFAP1L2, AGL, AMN1, ANKRD17, ARL6IP4, BCAT2, BCL2L2, BLM, BMPR2, C14ORF131, C16ORF75, C1ORF66, C20ORF196, C6ORF1, C6ORF106, C6ORF120, C6ORF64, C9ORF91, CARS, CCDC69, CCDC90B, CDK5, CEBPE, CHERP, CHRAC1, CHRNB1, CLTC, COG1, COPS8, CXCR5, DDX19A, DEFB131, DHDDS, DHX9, DIS3L2, DNM3, DUSP16, FAM105A, FBXW11, FIBP, FIGNL1, FLJ20125, FUNDC1, GFRA2, GMPPB, GPATCH1, GPR137B, GTF2H1, GTF2IRD2B, HP1BP3, HRSP12, HS.245405, HS.538554, HS.538962, ICA1, ICMT, LMAN2, LOC440145, LOC642017, LOC652545, LOC728944, MED8, MFN1, MTHFD1L, MYOM1, NCKIPSD, NDFIP1, NFYA, NLRP1, NOD1, NUDT15, OGFOD1, PCBP4, PDE12, PIGN, PIK3R4, PMF1, PPIA, PPP1R12B, PRKAG2, QTRTD1, RAB4A, RANBP3, RASSF6, RCBTB2, RETSAT, RFXANK, RPS6KC1, RPS7, SCAND1, SLC38A10, SLC9A9, SNORA7B, SON, ST3GAL3, STAU2, SULF2, THADA, TIGD7, TIPRL, TMEM177, TRA1P2, TUBG1, UBL5, UBXD4, UHRF2, VAMP4, VAMP4, ZFYVE27, ZNF397, ZNF585A, ZNF706, ZNF776"
M16.9,TBD,109,"2329927, 2152131, 2388605, 1700349, 1767722, 1768962, 1694219, 1720604, 1768363, 2321064, 1719165, 1687743, 2158594, 1665300, 2148497, 1744442, 1726597, 1680867, 1722522, 1738424, 1738075, 1703683, 1713749, 2307025, 1697864, 1811682, 1768031, 1707901, 2349831, 1656315, 2065299, 1774272, 2347805, 1758642, 1738699, 1739297, 1674560, 1738821, 1747935, 1708841, 1805216, 1681812, 1836469, 1838767, 1873620, 1675117, 1785574, 2348268, 2090607, 2410742, 2410772, 1753426, 1726901, 1735014, 1679558, 1754186, 1737574, 1700679, 1748767, 1675482, 1736747, 1686750, 1667744, 1734830, 1804679, 2186369, 1690136, 1653404, 1698752, 1807600, 2389347, 2330845, 1715809, 1769751, 1751773, 1659411, 1670875, 1695827, 1670970, 2412101, 1729611, 1671565, 1659099, 1769787, 1815656, 1813573, 1743275, 1710598, 1746578, 1743770, 2391355, 1727809, 1707791, 1798657, 1696883, 1778464, 1655876, 1744113, 1658144, 1797367, 2376403, 1676955, 1752027, 1685763, 1762103, 2105983, 1739659, 1755850, 2150654","ABCG1, ACTB, ACTR2, ADCK4, AFTPH, AKAP8L, ARIH1, ARSG, BAP1, BAX, BRMS1, BTBD7, C10ORF28, C1ORF25, C20ORF107, C20ORF121, C6ORF32, C6ORF61, CCNT2, CDC42, CMIP, COG4, CORO1A, CPNE1, CXORF38, CYLN2, DEDD2, DHRS7B, DICER1, DMD, EDEM3, ESRRA, EXOC1, FLJ90757, FXR2, GALNT4, GBA2, GOLGA2, GOLGB1, GOLPH3, GPC6, HIF1AN, HS.324250, HS.554203, HS.568777, HSD17B11, HTRA2, IFFO, IRF2, JMJD1C, KEAP1, KIAA0556, KLC1, KLF6, LOC283874, LOC643738, LOC648605, LOC649661, LOC730740, LOC732425, MARK2, MGEA5, MPPE1, MTHFR, MYST1, NCOR1, NIPBL, NKIRAS2, NLRX1, NPLOC4, NR3C1, NSF, OGFRL1, PIGG, POLD3, POLR2C, PPM1D, PPP1CA, PPP3CA, PRKAG1, REEP4, RNASET2, ROCK2, SELO, SERINC3, SETD1B, SH3MD4, SKI, SLC23A2, SLC25A14, STAMBP, STK35, TAZ, TBL1XR1, THOC2, TMEM1, TMEM159, TNFAIP8L2, TRIP11, TSC1, TSC22D3, TYK2, UBE3B, WDR45L, WDR48, XRCC5, ZDHHC6, ZNF350, ZSWIM4"
M12.10,Inflammation,53,"2367165, 1680996, 1664644, 2205963, 1782050, 1812618, 1790689, 1728478, 1662741, 2353633, 1744508, 1788213, 1670926, 1807662, 1653498, 1768505, 2254635, 1673282, 1784884, 1746012, 1722218, 2214678, 1681239, 2334693, 2112988, 1705064, 2331266, 1653292, 2362858, 1677843, 1813489, 1729294, 2363065, 1758146, 1657129, 1695962, 1810514, 1672834, 1659544, 1671404, 2282641, 1721876, 1657892, 1674402, 1685005, 1673111, 2368292, 2399503, 1705144, 1735052, 1721116, 1755235, 1779015, 1706342, 2371169","ABTB1, ALOX5, ATG16L2, C10ORF54, CEBPD, CENTD3, CRISPLD2, CXCL16, EDG4, EMR2, FAM53C, FRAT2, GALNAC4S-6ST, IGF2R, IGSF6, IL13RA1, ITGAX, LAMP2, LILRB3, MBD6, MBOAT7, MXD1, MYO1F, NARF, NCF1C, NDEL1, NUMB, PFKFB4, PILRA, RAB24, RAF1, RNF130, RTN3, SIRPA, SKAP2, SLC12A9, SLC25A44, SSH2, STX3, SVIL, TBXAS1, TIMP2, TLR8, TMEM71, TNFRSF1A, TSEN34, TSEN34, UBN1, ULK1, ULK1, USP10, XPO6, ZNF467, ZNF746, ZYX"
M12.11,Erythrocytes,24,"2372403, 2372398, 2045419, 1718961, 1708016, 1776998, 1807201, 1815527, 1843585, 1905548, 1672024, 1675421, 1733675, 1794074, 1767766, 2382829, 1753002, 1751571, 1724700, 1714809, 1801313, 1707720, 2117987, 1661717, 1781691, 1697777, 1746579, 1678919","ALDH5A1, ALDH5A1, BNIP3L, BNIP3L, C20ORF108, DNAJA4, FAM104A, HBD, HS.105618, HS.291319, ISCA1L, LOC389293, MPP1, MXI1, PRDX2, PRDX2, RAB2B, RAD23A, RIOK3, RPIA, SIAH2, SLC1A5, TFDP1, TFDP1, TRAK2, TSTA3, UBE2O, YOD1"
M12.12,TBD,31,"1681101, 1778796, 1797964, 1672191, 1671905, 2078264, 2325574, 1735594, 1769319, 1786532, 1776005, 1751492, 1661593, 1789407, 1746494, 1750029, 1665781, 1760338, 1719606, 1658911, 1803799, 1666564, 1708627, 1666713, 2395969, 2395974, 1691809, 1779633, 2054362, 2333594, 2414325, 1713668, 2324157","MARCH1, ADSS, ARL6IP6, ATP5F1, C10ORF78, C3ORF38, CASC4, CDC42SE2, CNBP, CNIH, DC2, FAM18B, FAM18B, FAM18B2, FNTA, GABPA, LOC390466, LOC643357, LOC644762, LOC647349, LOC649555, LOC652489, LOC653226, LYPLA1, PRDX3, PRDX3, PSMA1, PSMD6, SLC25A40, SUMO2, TNFAIP8, TSNAX, UBA3"
M12.13,Oxidative phosphorylation,47,"2343563, 1721989, 1666372, 1726603, 1772929, 2348093, 2307883, 1786759, 1801633, 1677237, 1680967, 2187718, 1663512, 2184049, 1809495, 1718924, 2367428, 1753719, 1745798, 1701696, 1685774, 1675852, 1706326, 1658416, 1803853, 1775759, 1653026, 2093343, 1745885, 1693287, 1789283, 1709611, 1682098, 2198376, 1704094, 2151818, 1789176, 1712678, 1801852, 1727840, 2234758, 1753862, 2312275, 2066020, 1793829, 1707627, 1691181, 1659437, 1806778, 1701749, 1767691, 1778177","ANAPC11, ATP5F1, ATP5H, ATP5I, ATP5J, ATP5J, ATP5J2, C11ORF10, C20ORF52, CHCHD9, CIP29, COX17, COX5B, COX7B, COX8A, ETFA, FAM96A, GTF2A2, GTF2F2, LOC644863, LOC647340, LOC650518, MRPL33, MRPS18C, NOL7, NRAS, PLAC8, PLAC8, POLR2F, POMP, PPP2R5C, PSMA1, PSMA4, PSMA4, PSMA6, PSMA6, PSMB1, RPS27L, SEC61B, SLC35B1, SRP14, SRP54, SRP54, TCEB1, TMCO1, TPI1, TXNDC1, TXNDC17, UBE2E1, UQCRFS1, VPS25, ZNF207"
M12.14,TBD,20,"2394438, 2387696, 2097410, 1765696, 1783743, 2278908, 2235707, 2406132, 1656233, 1759872, 2050434, 2077130, 2215061, 2148290, 1662331, 2041368, 2058337, 2182482, 2389376, 1728528","C14ORF24, CCR6, DAPP1, FARSLB, FLJ41423, GGA1, ITIH5, LILRB3, LOC389517, LOC643509, MGC16703, MSH3, ORC6L, PDCD7, PDSS2, RN7SL1, ROCK2, SHCBP1, WDR23, ZNF655"
M12.15,Cell cycle,17,"2343048, 1801939, 2233783, 1663390, 1683450, 2105441, 2083066, 2285996, 1804601, 1695891, 2193233, 1768016, 1686097, 1788108, 2403965, 1806040, 2301083, 1714730, 1786065","ABCB9, CCNB2, CD38, CDC20, CDCA5, IGJ, IGLL3, KIAA0101, LOC649923, LOC652775, MGC29506, TNFRSF17, TOP2A, TXNDC5, TXNDC5, TYMS, UBE2C, UBE2C, UHRF1"
M13.10,Protein synthesis,91,"1763875, 1713732, 1657993, 1811480, 1747577, 1808792, 1781983, 1683096, 1790603, 2205245, 1754400, 1752953, 1675612, 1804656, 1703314, 2194828, 1730294, 2082130, 1795026, 1801941, 1736234, 1697363, 1661594, 1813236, 1813938, 1725705, 2063925, 2064655, 1692760, 1773847, 1756767, 1729374, 1659029, 1750400, 1711227, 1691578, 2211800, 2184789, 1769451, 1809708, 1694686, 2343624, 2336186, 1806486, 1771734, 1668484, 1751816, 1728360, 1743806, 2189424, 1663220, 1811327, 1800197, 2405915, 1775744, 1773763, 1713450, 1704206, 1789616, 1772369, 1706610, 1780236, 1691432, 1809010, 1741957, 1712455, 1786388, 1743747, 1786972, 1778321, 1677484, 1729281, 1668090, 1746090, 1752895, 1734138, 1750518, 1706959, 2162989, 1681972, 2405592, 1768181, 1666178, 1701514, 1812940, 1802753, 1773868, 1737585, 1694671, 1686968, 1800390","ABCF1, ABL1, ADNP, ADPRHL2, ALAD, ALKBH6, AP1B1, ASB1, ATPAF1, ATPBD1B, AYP1P1, BCL2L12, BLCAP, C12ORF62, C16ORF44, C16ORF53, C18ORF37, C1ORF123, C1ORF2, C1ORF50, C1ORF77, C20ORF27, C2ORF42, C6ORF136, CHCHD4, CLPP, CTNNBL1, CXORF40A, DPAGT1, DYNC1I2, EIF5B, ETFB, FAM116B, FLJ11286, GMDS, GTF3C6, HMG1L1, HSCB, ILVBL, KCTD21, KIAA0194, KIAA0859, LCMT1, LOC389137, LOC728564, LRRC47, MCTS1, MED29, MIF4GD, MRPL20, MRPL22, MRPL27, MRPL36, MRPS11, MRPS16, MTA2, MYL6B, NPSR1, NUPL2, PDHA1, PLEKHA9, PMM1, PRDM4, PSMC3, RABEPK, RBM4, RNF113A, RUSC1, SARS, SLC2A6, SNAPC4, SPHK2, STK25, STT3A, STX8, TATDN2, THOC4, TIMM22, TMEM189, TMEM69, TMEM93, TOR3A, TP53I13, TRAF3IP2, TRMT1, TSSC4, U2AF1L2, VARS2, ZFAND2A, ZNF362, ZNF511"
M13.11,TBD,78,"2053178, 2224833, 1761804, 1721977, 1719518, 1677440, 1798485, 2099783, 1699676, 2150000, 1700028, 2191929, 1687858, 1714599, 1796244, 2210837, 1674609, 2300396, 1811615, 1662232, 1694530, 1811551, 1796245, 1813275, 1659462, 2317730, 1758658, 1764380, 2093674, 1778673, 1808196, 1737857, 1707858, 1803945, 1806692, 1815124, 1809347, 1839750, 1751803, 1777721, 1749821, 1732577, 1654016, 1703006, 2058070, 1720344, 1716678, 1680353, 1733931, 1729748, 1761560, 2196097, 1722858, 1778587, 1664921, 1736353, 1793433, 1750409, 1780987, 1655340, 1711862, 1783709, 1667257, 1693490, 1746368, 1760683, 1711766, 1742731, 1804642, 1779616, 1743352, 1757272, 1761120, 1664750, 1792508, 1800261, 1766981, 1729816, 1707199","ACTG1, ADIPOR2, ALDH9A1, ARD1A, ARF4, ATP6AP2, ATP6V1E1, ATP6V1F, C14ORF147, C15ORF24, C9ORF156, C9ORF6, CALM2, CAMLG, CD2BP2, CDC26, CLTB, COMMD5, COPA, DCTN2, DDA1, DERA, DNASE2, DUSP22, DUSP23, ELMO2, FADD, GLTP, GMFB, GOLGA7, GSTO1, GTF2B, H2AFZ, HCP5, HEXB, LOC645317, LOC729466, LOC729776, LSM10, MAPRE1, MED28, MGC13379, MRLC2, MTCH1, NEDD8, NIPA2, NPC2, NSF, PDCD6, PEF1, PHF13, PPP2CA, PPP2CA, PPP2R2D, PPP6C, PSMC1, RAB10, RAB9A, RFXANK, RNF181, RNF7, RRAGA, SDHB, SEC11A, SELT, SFRS9, SKP1A, SLC35A2, SMUG1, SUCLG1, TBCC, THAP1, TM2D3, TMBIM4, TMEM59, TUBA1B, UNC50, VDAC3, WDR20"
