Module ID,Module functional association title,Number of unique genes,Illumina Probe IDs,Symbols of member genes
M11.1,Protein synthesis,46,"2318725, 1738383, 2050112, 1652768, 1788742, 1713394, 1663416, 1661306, 1659095, 1659771, 1746485, 1684258, 1732328, 1673738, 1775243, 1651680, 1811063, 1786242, 1698940, 1651899, 1680437, 2154566, 2116366, 2383097, 1658283, 2230624, 2141452, 2141444, 2141453, 1701832, 1656807, 2142815, 1756360, 1685088, 1752285, 2087080, 1712155, 1764721, 1750507, 2386530, 1777344, 1666635, 2338785, 2219134, 2207539, 1753534, 1701596, 1755883, 1760714, 1674069, 2087060","EEF1B2, EEF2, LOC388524, LOC440589, LOC441246, LOC441876, LOC642250, LOC643433, LOC644029, LOC645683, LOC645899, LOC646195, LOC646200, LOC646483, LOC646766, LOC649150, LOC649447, LOC649821, LOC653232, LOC653314, LOC731096, RPL10A, RPL12, RPL17, RPL17, RPL18, RPL18A, RPL18A, RPL18A, RPL19, RPL27, RPL35, RPL35A, RPL36, RPL4, RPL5, RPL6, RPL8, RPL9, RPLP1, RPS13, RPS14, RPS14, RPS15, RPS17, RPS18, RPS20, RPS27A, RPS3, TOMM7, TOMM7"
M11.2,TBD,39,"1788457, 1723116, 2390416, 1811148, 1656427, 1711799, 2390974, 1679324, 1728698, 2216157, 1860954, 1911042, 1670000, 1682727, 1811823, 1676280, 1748591, 1767422, 2124082, 1763540, 1667306, 2351241, 1682494, 2134110, 1659027, 1740180, 2123730, 1752589, 2172269, 2164242, 2351611, 1788604, 1719343, 1756146, 1667201, 1876924, 2080637, 1654032, 1696276","ABCC4, AMFR, BAT3, BMP2K, C17ORF39, C9ORF40, DNAJB2, EIF1B, GDE1, GNA12, HS.211743, HS.57079, IQWD1, JAZF1, MED25, NSUN3, ODC1, POLR1D, PPP2R5B, PSME4, RANBP10, RNF14, RSRC1, SELK, SLC2A1, SNX3, TBC1D22B, TMEM183A, TMEM183B, UBE2F, UBQLN1, WBP2, WDR26, WDR45, WDR51B, WNK1, ZBTB44, ZER1, ZNF653"
M11.3,Erythrocytes,24,"1679919, 2207328, 1671693, 1732049, 1671686, 1745962, 1715963, 1797251, 2379520, 2413537, 1680094, 1726306, 1738468, 1774375, 1706434, 1719579, 2303166, 2303170, 1684255, 1708580, 1688240, 1756715, 1694027, 1750181, 1679267, 2329290, 1799028, 1760315","ASCC2, C18ORF10, C18ORF10, DPM2, EPB49, FBXO7, FBXO7, GATA1, HAGH, HEMGN, HEMGN, HMBS, KEL, LOC284422, LOC440359, LOC441081, MBNL3, MBNL3, MYL4, PDZK1IP1, PHOSPHO1, RUNDC3A, SESN3, TESC, TGM2, TRIM10, TSPAN5, VWCE"
M11.4,TBD,26,"2402798, 1699598, 1809957, 2410975, 1739008, 1692267, 2181445, 1658494, 1806937, 1740441, 2112493, 1727315, 1654851, 2382990, 1810214, 1804448, 1815552, 1722634, 1728984, 1742427, 1733927, 1807044, 1807596, 1733991, 1740742, 1805512, 2321292, 1745343","AP2M1, AP2M1, AP2S1, ATG9A, ATG9A, B4GALT3, BCL2L13, C13ORF15, C19ORF62, CYB5R3, DAP, DENND1A, FAM134A, HK1, JUND, MSI2, NTAN1, NUCB1, PA2G4, POLR1D, TCEB2, UBAC1, UBAP1, UBL7, UROD, WDR13, WIPI2, ZMAT2"
M12.1,TBD,111,"1800008, 1749297, 1657862, 2313821, 1733690, 1802106, 2332558, 1771966, 1796113, 1700915, 1724658, 1664167, 1679800, 1706305, 2112599, 2182531, 1734486, 1803647, 1665066, 1790461, 1804834, 1730347, 2302118, 1679382, 1685095, 1726755, 1665797, 1802456, 1726839, 2381841, 1735461, 1803312, 1799516, 1768127, 1701930, 1725105, 1669394, 1753716, 1797074, 1711878, 1770623, 1745887, 1719392, 1679476, 1707484, 1702177, 1739497, 1723414, 1719906, 1697820, 1753279, 2092536, 1777118, 1673252, 2129388, 1778523, 1716093, 1782743, 1707631, 1691570, 1658182, 1718069, 2103720, 2348050, 1749432, 2341952, 2258774, 1748650, 1722838, 1711414, 1726743, 1741264, 1689665, 2354140, 1760741, 1777066, 1704305, 1760280, 1797684, 2228710, 1717674, 1717855, 1736548, 1764871, 1791093, 2322842, 1733421, 1743049, 1813685, 1790354, 1662129, 1770339, 1730082, 1728975, 1791728, 2086064, 1748625, 2067708, 2318638, 1711450, 2217809, 2073010, 2123402, 1679796, 1670172, 1799814, 1665887, 1761479, 1744980, 1684628, 1798533, 1688346","ACAT1, ACTL6A, AHCY, AIFM1, AKAP7, APOBEC3G, ARL5A, BCCIP, BCDIN3D, BMI1, BNIP3, BXDC1, BXDC2, C14ORF112, C16ORF80, C18ORF55, C1ORF19, C3ORF28, C4ORF14, C6ORF125, C6ORF130, CCDC115, CCDC50, CCT2, CNO, COPS4, CSE1L, DCTD, DCUN1D5, DDX19B, DDX21, DIMT1L, DNAJC9, EBNA1BP2, EEF1B2, EEF1E1, EI24, EIF2B1, EMG1, ENOPH1, FAM58A, FBXO21, FH, GART, GEMIN6, GLO1, GTF2H5, HACL1, HADH, HINT2, HNRNPA0, HSPE1, INTS9, JTV1, KIAA1128, KLF9, KRT10, LETMD1, MED10, METTL5, MEX3C, MIS12, MRPL15, MRPL21, MRPL32, MRPL35, MRPL43, MRPL45, MRPL46, MRPS27, MRPS30, MRPS33, NAE1, NAT5, NDUFA9, NIF3L1, NIP7, NXT1, PDCD2, PDCD5, PEPD, PFDN1, PHACTR4, PIGP, PPHLN1, PPHLN1, PRKCQ, PWP1, RAB7L1, RABGGTB, RCN2, RPAIN, RPUSD4, SCO1, SLC25A25, SNRPC, TCEAL4, TFB2M, TGIF1, TH1L, TMEM126A, TMEM203, TMEM4, TOMM20, WDR33, WDR57, WDR61, ZC3HC1, ZCCHC7, ZFP90, ZNF22, ZNF800"
M12.2,Monocytes,44,"2096372, 1793859, 2391512, 1668605, 1769013, 2342638, 1694966, 1761941, 1672124, 1712532, 1769895, 1774761, 2379599, 1701906, 1747622, 1784863, 1796094, 1714602, 1715715, 1763000, 2400759, 1682928, 1686623, 2390853, 1682312, 2355462, 1693338, 1672503, 1703531, 1697268, 2109197, 1677038, 2204876, 1653711, 1751789, 1807277, 1805992, 2137789, 1737514, 1746517, 1807825, 1764709, 2355168, 1797731, 2359800, 1769299, 1701195, 1763447, 1776602, 1810275, 1663866, 1687301","ALDH1A1, ALDH2, ASAHL, ASAHL, ASGR1, ASGR2, ASGR2, C4ORF18, C4ORF18, CARD9, CCR2, CCR2, CD163, CD300C, CD33, CD36, CD36, CD86, CEBPA, CENTA2, CPVL, CPVL, CSF1R, CTSH, CYBB, CYFIP1, CYP1B1, DPYSL2, EDG3, EMILIN2, EPB41L3, FLJ21986, FLVCR2, FZD2, HNMT, IFI30, KIAA1598, KLF4, KYNU, KYNU, LY86, MAFB, MGST1, MS4A6A, MS4A6A, MTMR11, PLA2G7, PLXNB2, RNASE4, SLC7A7, TGFBI, VCAN"
M12.3,Cell cycle,70,"1676846, 2330267, 1772645, 2293758, 1693220, 1804812, 1772713, 1798728, 1668540, 1745904, 1802615, 1796235, 1795822, 1662334, 2151541, 2375418, 1744068, 2057573, 1771139, 1710209, 2154053, 2324574, 1657682, 1738656, 1742577, 1869109, 1821176, 1733956, 1665483, 1703697, 2081988, 1738554, 2044453, 1671554, 1678087, 2364272, 1786189, 1707534, 2187727, 1688971, 1684210, 1652989, 1673962, 1677953, 1705093, 1727098, 2234229, 1667050, 1690806, 1727045, 2217935, 2176768, 2200917, 1682799, 1791328, 1764851, 2192385, 1678140, 1789349, 2095820, 1697348, 1656628, 1658289, 1744240, 1804328, 1657873, 1659937, 1772522, 1754234, 2054442, 1797903, 1728710, 1653618, 2137536","ABCE1, ABCE1, AGK, AKAP11, AKAP11, ANAPC1, BMS1, C19ORF2, C1ORF181, CCDC6, CDK6, CIRH1A, DIS3L, DNAJA3, DNAJC10, DPH2, ELP3, FAM62B, FBXO31, FLJ20160, FVT1, GARNL1, GFM1, GLOD4, GTPBP4, HS.213061, HS.276860, IARS, KIAA0020, LANCL1, LANCL1, LOC647346, LPAR5, LPIN1, MAP3K4, MBNL2, MKI67IP, NKRF, NOC3L, NOL11, NPAL3, NUP160, NUP205, OGFOD1, ORC5L, PPP1R16B, PRMT6, PRPS1, PTPLB, RASGRP3, RFC1, SEPHS1, SLC4A7, STAMBPL1, STK39, TP53RK, TTC19, TTC4, UBQLN4, UTP14A, WBSCR22, WDR4, WDR54, WDR67, WWP1, XPO4, ZBTB24, ZFP161, ZMYND11, ZNF146, ZNF544, ZNF816A, ZZZ3, ZZZ3"
M12.4,Gene Transcription,62,"1677043, 1718610, 1787879, 1660749, 1735979, 1651405, 2077094, 2393450, 2201533, 1711823, 1671374, 1708906, 1815039, 1718336, 1725071, 2064898, 1715607, 1660426, 1691276, 1720287, 1665212, 1801421, 2300970, 2396648, 2407464, 1795876, 1776080, 1763523, 1732705, 1721669, 1687921, 1663195, 1748819, 2041327, 1759729, 2142554, 1763460, 1806432, 2097546, 1701466, 1666976, 1780189, 1779404, 1676002, 1700604, 1720124, 2404385, 2186597, 1705151, 1696046, 1814173, 1681016, 1785570, 1743763, 1747058, 2364674, 2191568, 1737084, 1713993, 1795937, 1766010, 1763568","AKR7A2, ARHGAP17, ARL2, ASPSCR1, BCKDHA, BRD9, C11ORF2, C14ORF173, C17ORF61, C17ORF70, C19ORF53, C2ORF29, C6ORF153, C7ORF50, CCDC12, CCDC56, CHMP4A, CPSF4, CXXC1, E4F1, EDC4, EMD, ETFB, EXOSC1, FASTK, GPS1, GTPBP6, HARS, HCFC1, IDH3B, LOC339123, MCM7, MRPL22, MRPL37, NDUFA8, NENF, NHP2L1, NT5C, NUDC, PEX16, PLD3, PSMC5, PUF60, QRICH1, RBM14, RCC2, REPIN1, RPP21, SF3A3, SIVA, SMARCA4, SPNS1, SUSD3, TJAP1, TRAPPC2L, TRPT1, TUSC4, TXLNA, UBAC2, VIL2, YARS, ZDHHC16"
M12.5,Protein modification,91,"1665945, 1760490, 2064917, 1736340, 1669259, 1667086, 2149766, 1796912, 2358784, 2221673, 2361695, 1744725, 2391551, 2111918, 1680781, 2251978, 1683065, 1752086, 1673478, 1730048, 1731064, 1809889, 1795922, 2154603, 1778557, 1806122, 1787109, 1669252, 1784218, 1760954, 2209748, 2119486, 1768470, 1795495, 2189605, 1745217, 1679640, 1683204, 1764230, 2187487, 1706094, 2334587, 1847308, 1817255, 1679483, 1762615, 1728676, 1670752, 1749405, 2102960, 1700733, 2213199, 1664466, 1767662, 1727361, 1783023, 1780773, 2301624, 2056760, 1663664, 1729051, 2328776, 1765520, 1670079, 1690487, 2088172, 1768449, 1783424, 1786976, 1739876, 1707062, 1704557, 1800543, 1789999, 1752333, 1742224, 1694603, 1718807, 1697670, 1737535, 1697117, 1715661, 1678004, 1656066, 2181363, 2397230, 2397231, 1684594, 1802519, 1664424, 1799890, 1688629, 1684591, 2075818, 1805271","ACBD3, ACVR1, AGGF1, ANGEL2, ANKRD49, AP3M1, APPBP2, ARHGEF7, ASB3, ASNSD1, BAG5, BTBD6, C13ORF23, C14ORF135, C14ORF135, C21ORF66, C2ORF64, C4ORF41, C5ORF5, C7ORF26, CABC1, CCDC117, CCDC16, CCDC16, CDC2L5, CHD8, CLK2, CUL2, DDX23, DENR, DERL1, DMTF1, EIF4G1, ERCC5, FAM122B, FLJ10081, FXR1, GMEB2, GNPTG, HEATR5B, HECTD1, HNRNPC, HS.475334, HS.92308, INTS10, KIAA0157, KIAA0196, KIAA0907, KIAA1191, KIAA1370, KIAA1370, KIAA1712, KLHL9, LASS6, LEMD3, LOC285636, LOC400027, MACF1, MKRN2, MRPS10, MSH6, MST4, MTIF2, OMA1, PCM1, POLR2B, PRPSAP1, PUM1, RAB22A, RAB3GAP1, REV1, RPS6KB1, SCFD1, SLC30A7, SLC35E1, SLTM, SMARCC1, SMC3, SRRM1, TAF4, TBP, TFAM, TMEM41B, TNPO2, UBE3C, USP16, USP16, USP24, VPS36, ZBED5, ZFYVE20, ZNF274, ZNF434, ZNF598, ZNF721"
M12.6,T-cell,33,"1724480, 1665761, 1749868, 1792456, 1752394, 1659077, 1798360, 1772627, 1745112, 1670807, 1703955, 2302757, 1780368, 1911677, 1821352, 1821975, 1770641, 2048591, 1773650, 1812278, 2205032, 1713807, 2185675, 1725417, 1656378, 2210934, 1754858, 1667022, 1783231, 1795118, 2383058, 1726928, 1657509, 1757408, 1728228","AXIN2, BCL11B, C10ORF38, CCDC104, CCNB1IP1, CD40LG, CXCR7, D4S234E, FAM102A, FAM84B, FBXO32, FCGBP, GPR18, HS.447508, HS.564504, HS.567464, KLHL3, LRRN3, LRRN3, LY9, MAGEE1, MAN1C1, MGC52498, NELL2, NMT2, NR3C2, PASK, PASK, PLEKHB1, SIDT1, SIRPG, TCEA3, TSEN54, ZNF256, ZNF548"
